Time,BestBid,BestAsk,MidPrice,Spread,Imbalance
12:25:13,91357.4,91331.4,91344.4,-26.04,-0.083253
12:25:13,91357.4,91331.4,91344.4,-26.04,-0.0836468
12:25:13,91357.4,91331.4,91344.4,-26.04,-0.0836535
12:25:14,91357.4,91331.4,91344.4,-26.04,-0.0847725
12:25:15,91357.4,91331.4,91344.4,-26.04,-0.0845656
12:25:16,91357.4,91331.4,91344.4,-26.04,-0.106641
12:25:16,91357.4,91331.4,91344.4,-26.04,-0.106283
12:25:18,91357.4,91331.4,91344.4,-26.04,-0.105597
12:25:19,91357.4,91331.4,91344.4,-26.04,-0.103577
12:25:20,91357.4,91331.4,91344.4,-26.04,-0.147267
12:25:21,91357.4,91331.4,91344.4,-26.04,-0.236621
12:25:22,91357.4,91331.4,91344.4,-26.04,-0.216451
12:25:24,91357.4,91331.4,91344.4,-26.04,-0.216296
12:25:25,91357.4,91331.4,91344.4,-26.04,-0.0494761
12:25:25,91357.4,91331.4,91344.4,-26.04,-0.0671893
12:25:26,91357.4,91331.4,91344.4,-26.04,-0.0677623
12:25:26,91357.4,91331.4,91344.4,-26.04,0.258537
12:25:27,91357.4,91331.4,91344.4,-26.04,0.238533
12:25:28,91357.4,91331.4,91344.4,-26.04,0.230856
