Time,Position,PnL
12:24:12,2.96,-1.74616
12:24:12,2.97,-1.74985
12:24:12,2.98,-1.75352
12:24:12,2.99,-1.75718
12:24:12,3,-1.76084
12:24:12,3.01,-1.76447
12:24:12,3.02,-1.7681
12:24:12,3.03,-1.77171
12:24:12,3.04,-1.77532
12:24:12,3.05,-1.77891
12:24:12,3.06,-1.78249
12:24:12,3.07,-1.78605
12:24:12,3.08,-1.78961
12:24:12,3.09,-1.79315
12:24:12,3.1,-1.79669
12:24:12,3.11,-1.80021
12:24:12,3.12,-1.80372
12:24:12,3.13,-1.80722
12:24:12,3.14,-1.8107
12:24:12,3.15,-1.81418
12:24:12,3.16,-1.81764
12:24:12,3.17,-1.8211
12:24:12,3.18,-1.82454
12:24:12,3.19,-1.82797
12:24:12,3.2,-1.8314
12:24:12,3.21,-1.83481
12:24:12,3.22,-1.83821
12:24:12,3.23,-1.8416
12:24:12,3.24,-1.84498
12:24:12,3.25,-1.84835
12:24:12,3.26,-1.8517
12:24:12,3.27,-1.85505
12:24:12,3.28,-1.85839
12:24:12,3.29,-1.86172
12:24:13,3.3,-1.86504
12:24:13,3.31,-1.86834
12:24:13,3.32,-1.87164
12:24:13,3.33,-1.87493
12:24:13,3.34,-1.87821
12:24:13,3.35,-1.88148
12:24:13,3.36,-1.88473
12:24:13,3.37,-1.88798
12:24:13,3.38,-1.89122
12:24:13,3.39,-1.89445
12:24:13,3.4,-1.89767
12:24:13,3.41,-1.90088
12:24:13,3.42,-1.90408
12:24:13,3.43,-1.90727
12:24:13,3.44,-1.91046
12:24:13,3.45,-1.91363
12:24:13,3.46,-1.91684
12:24:13,3.47,-1.92005
12:24:13,3.48,-1.92324
12:24:13,3.49,-1.92648
12:24:13,3.5,-1.92971
12:24:13,3.51,-1.93292
12:24:13,3.52,-1.93613
12:24:13,3.53,-1.93933
12:24:13,3.54,-1.94252
12:24:13,3.55,-1.9457
12:24:13,3.56,-1.94888
12:24:14,3.57,-1.95204
12:24:14,3.58,-1.9552
12:24:14,3.59,-1.95834
12:24:14,3.6,-1.96148
12:24:14,3.61,-1.96461
12:24:14,3.62,-1.96773
12:24:14,3.63,-1.97084
12:24:14,3.64,-1.97394
12:24:15,3.65,-2.02388
12:24:15,3.66,-2.07369
12:24:15,3.67,-2.12336
12:24:15,3.68,-2.1729
12:24:15,3.69,-2.2223
12:24:15,3.7,-2.27157
12:24:15,3.71,-2.3207
12:24:15,3.72,-2.3697
12:24:15,3.73,-2.41857
12:24:15,3.74,-2.46731
12:24:15,3.75,-2.51592
12:24:15,3.76,-2.5644
12:24:15,3.77,-2.61275
12:24:15,3.78,-2.66097
12:24:15,3.79,-2.70906
12:24:15,3.8,-2.75983
12:24:15,3.81,-2.82126
12:24:15,3.82,-2.88289
12:24:15,3.83,-2.94435
12:24:15,3.84,-3.00565
12:24:15,3.85,-3.06679
12:24:15,3.86,-3.12777
12:24:15,3.87,-3.1886
12:24:15,3.88,-3.24926
12:24:15,3.89,-3.30977
12:24:15,3.9,-3.37013
12:24:15,3.91,-3.43033
12:24:15,3.92,-3.49038
12:24:15,3.93,-3.55027
12:24:15,3.94,-3.61001
12:24:15,3.95,-3.6696
12:24:15,3.96,-3.72904
12:24:15,3.97,-3.78833
12:24:15,3.98,-3.84746
12:24:15,3.99,-3.90645
12:24:15,4,-3.9653
12:24:15,4.01,-4.02399
12:24:15,4.02,-4.08254
12:24:15,4.03,-4.14095
12:24:15,4.04,-4.1992
12:24:15,4.05,-4.25732
12:24:15,4.06,-4.31529
12:24:15,4.07,-4.37312
12:24:15,4.08,-4.4308
12:24:15,4.09,-4.48835
12:24:15,4.1,-4.54575
12:24:15,4.11,-4.60301
12:24:15,4.12,-4.66014
12:24:15,4.13,-4.71712
12:24:15,4.14,-4.77397
12:24:15,4.15,-4.83068
12:24:15,4.16,-4.88726
12:24:15,4.17,-4.94369
12:24:15,4.18,-5
12:24:15,4.19,-5.05617
12:24:15,4.2,-5.1122
12:24:15,4.21,-5.1681
12:24:15,4.22,-5.22387
12:24:15,4.23,-5.2795
12:24:15,4.24,-5.33501
12:24:15,4.25,-5.39038
12:24:15,4.26,-5.44562
12:24:15,4.27,-5.50073
12:24:15,4.28,-5.55572
12:24:15,4.29,-5.61057
12:24:15,4.3,-5.6653
12:24:15,4.31,-5.7199
12:24:15,4.32,-5.77438
12:24:15,4.33,-5.82872
12:24:15,4.34,-5.88295
12:24:15,4.35,-5.93704
12:24:16,4.36,-5.99102
12:24:16,4.37,-6.04486
12:24:16,4.38,-6.09859
12:24:16,4.39,-6.15219
12:24:16,4.4,-6.20567
12:24:16,4.41,-6.25903
12:24:16,4.42,-6.31227
12:24:16,4.43,-6.36539
12:24:16,4.44,-6.41839
12:24:17,4.45,-6.47127
12:24:17,4.46,-6.52403
12:24:17,4.47,-6.57667
12:24:17,4.48,-6.62919
12:24:17,4.49,-6.6816
12:24:17,4.5,-6.73389
12:24:17,4.51,-6.78606
12:24:17,4.52,-6.83812
12:24:17,4.53,-6.89006
12:24:17,4.54,-6.94189
12:24:17,4.55,-6.99361
12:24:18,4.56,-7.04521
12:24:18,4.57,-7.09669
12:24:18,4.58,-7.14807
12:24:18,4.59,-7.19933
12:24:18,4.6,-7.25048
12:24:18,4.61,-7.30152
12:24:19,4.62,-7.35245
12:24:19,4.63,-7.40327
12:24:19,4.64,-7.45398
12:24:19,4.65,-7.50458
12:24:19,4.66,-7.55507
12:24:19,4.67,-7.60545
12:24:19,4.68,-7.65572
12:24:19,4.69,-7.70589
12:24:19,4.7,-7.75595
12:24:19,4.71,-7.8059
12:24:19,4.72,-7.85575
12:24:19,4.73,-7.90549
12:24:19,4.74,-7.95513
12:24:19,4.75,-8.00466
12:24:19,4.76,-8.05409
12:24:19,4.77,-8.10341
12:24:19,4.78,-8.15263
12:24:19,4.79,-8.20175
12:24:19,4.8,-8.25077
12:24:19,4.81,-8.29968
12:24:20,4.82,-8.34849
12:24:20,4.83,-8.3972
12:24:20,4.84,-8.44581
12:24:20,4.85,-8.49432
12:24:20,4.86,-8.54273
12:24:20,4.87,-8.59103
12:24:20,4.88,-8.63924
12:24:20,4.89,-8.68735
12:24:20,4.9,-8.73537
12:24:20,4.91,-8.78328
12:24:20,4.92,-8.8311
12:24:20,4.93,-8.87882
12:24:20,4.94,-8.92644
12:24:20,4.95,-8.97397
12:24:20,4.96,-9.0214
12:24:20,4.97,-9.06873
12:24:20,4.98,-9.11597
12:24:20,4.99,-9.16312
12:24:21,5,-9.21017
12:24:21,5.01,-9.25713
12:24:21,5.02,-9.30399
12:24:21,5.03,-9.35076
12:24:21,5.04,-9.39743
12:24:21,5.05,-9.44402
12:24:21,5.06,-9.49051
12:24:21,5.07,-9.53691
12:24:21,5.08,-9.58322
12:24:21,5.09,-9.62943
12:24:21,5.1,-9.67556
12:24:22,5.11,-9.72159
12:24:22,5.12,-9.76754
12:24:22,5.13,-9.8134
12:24:22,5.14,-9.85916
12:24:22,5.15,-9.90484
