Time,Position_BTC,PnL_USD
23:05:59,0.22,-855.021
23:05:59,0.21,-855.271
23:05:59,0.2,-855.532
23:05:59,0.19,-855.807
23:05:59,0.18,-856.096
23:05:59,0.17,-856.401
23:05:59,0.16,-856.724
23:05:59,0.15,-857.067
23:05:59,0.14,-857.433
23:05:59,0.13,-857.825
23:05:59,0.12,-858.248
23:05:59,0.11,-858.705
23:05:59,0.1,-859.205
23:05:59,0.09,-859.754
23:06:00,0.1,-859.144
23:06:00,0.11,-858.595
23:06:00,0.12,-858.096
23:06:00,0.13,-857.638
23:06:00,0.14,-857.216
23:06:00,0.15,-856.823
23:06:00,0.16,-856.457
23:06:00,0.17,-856.114
23:06:00,0.18,-855.791
23:06:00,0.19,-855.486
23:06:00,0.2,-855.197
23:06:00,0.21,-854.923
23:06:00,0.22,-854.661
23:06:00,0.23,-854.412
23:06:00,0.24,-854.173
23:06:00,0.25,-853.944
23:06:00,0.26,-853.725
23:06:00,0.27,-853.514
23:06:00,0.28,-853.31
23:06:00,0.29,-853.114
23:06:00,0.3,-852.925
23:06:02,0.31,-852.581
23:06:02,0.32,-852.249
23:06:02,0.33,-851.927
23:06:02,0.34,-851.614
23:06:02,0.35,-851.311
23:06:02,0.36,-851.016
23:06:05,0.35,-851.303
23:06:05,0.34,-851.597
23:06:05,0.33,-851.901
23:06:05,0.32,-852.213
23:06:05,0.31,-852.536
23:06:05,0.3,-852.868
23:06:05,0.29,-853.212
23:06:05,0.28,-853.567
23:06:05,0.27,-853.936
23:06:05,0.26,-854.318
23:06:05,0.25,-854.714
23:06:05,0.24,-855.127
23:06:05,0.23,-855.556
23:06:05,0.22,-856.005
23:06:05,0.21,-856.474
23:06:05,0.2,-856.965
23:06:05,0.19,-857.48
23:06:05,0.18,-858.023
23:06:05,0.17,-858.596
23:06:05,0.16,-859.202
23:06:05,0.15,-859.847
23:06:05,0.14,-860.534
23:06:05,0.13,-861.271
23:06:05,0.12,-862.064
23:06:05,0.11,-862.924
23:06:05,0.1,-863.861
23:06:05,0.09,-864.892
23:06:05,0.08,-866.038
23:06:05,0.07,-867.327
23:06:05,0.06,-868.8
23:06:06,0.07,-867.082
23:06:06,0.08,-865.608
23:06:06,0.09,-864.32
23:06:06,0.1,-863.174
23:06:06,0.11,-862.143
23:06:06,0.12,-861.205
23:06:06,0.13,-860.346
23:06:06,0.14,-859.553
23:06:06,0.15,-858.816
23:06:06,0.16,-858.129
23:06:06,0.17,-857.484
23:06:06,0.18,-856.878
23:06:06,0.19,-856.305
23:06:06,0.2,-855.762
23:06:06,0.21,-855.247
23:06:06,0.22,-854.756
23:06:06,0.23,-854.287
23:06:06,0.24,-853.839
23:06:06,0.25,-853.409
23:06:07,0.26,-852.997
23:06:07,0.27,-852.6
23:06:07,0.28,-852.218
23:06:07,0.29,-851.85
23:06:07,0.3,-851.494
23:06:07,0.31,-851.151
23:06:07,0.32,-850.818
23:06:07,0.33,-850.496
23:06:07,0.34,-850.183
23:06:12,0.33,-850.556
23:06:12,0.32,-850.94
23:06:12,0.31,-851.336
23:06:12,0.3,-851.745
23:06:12,0.29,-852.167
23:06:12,0.28,-852.605
23:06:12,0.27,-853.057
23:06:12,0.26,-853.527
23:06:12,0.25,-854.014
23:06:13,0.24,-854.654
23:06:13,0.23,-855.327
23:06:13,0.22,-856.028
23:06:13,0.21,-856.761
23:06:13,0.2,-857.53
23:06:13,0.19,-858.336
23:06:13,0.18,-859.185
23:06:13,0.17,-860.082
23:06:13,0.16,-861.031
23:06:13,0.15,-862.039
23:06:13,0.14,-863.114
23:06:13,0.13,-864.325
23:06:13,0.12,-865.628
23:06:13,0.11,-867.04
23:06:13,0.1,-868.58
23:06:13,0.09,-870.274
23:06:13,0.08,-872.156
23:06:13,0.07,-874.273
23:06:13,0.06,-876.693
23:06:13,0.05,-879.516
23:06:13,0.04,-882.904
23:06:13,0.03,-887.139
23:06:13,0.02,-892.785
23:06:13,0.01,-901.255
23:06:13,2.42861e-17,-918.194
23:06:13,-0.01,-27.126
