Time,BestBid_USD,BestAsk_USD,MidPrice_USD,Spread_USD,Imbalance
16:08:07,91487.3,91487.3,91487.3,0.01,0.796078
16:08:08,91487.3,91487.3,91487.3,0.01,0.777523
16:08:08,91487.3,91487.3,91487.3,0.01,0.165544
16:08:09,91487.3,91487.3,91487.3,0.01,0.0928492
16:08:09,91487.3,91487.3,91487.3,0.01,0.0692696
16:08:09,91487.3,91487.3,91487.3,0.01,-0.0523974
16:08:11,91487.3,91487.3,91487.3,0.01,-0.0400301
16:08:11,91487.3,91487.3,91487.3,0.01,-0.0455021
16:08:12,91487.3,91487.3,91487.3,0.01,0.130601
16:08:13,91487.3,91487.3,91487.3,0.01,0.0870385
16:08:15,91487.3,91487.3,91487.3,0.01,0.0942845
16:08:16,91487.3,91487.3,91487.3,0.01,0.0661325
16:08:17,91487.3,91487.3,91487.3,0.01,0.0910866
16:08:19,91487.3,91487.3,91487.3,0.01,0.105405
16:08:20,91487.3,91487.3,91487.3,0.01,0.09428
16:08:21,91487.3,91487.3,91487.3,0.01,0.0944965
16:08:22,91487.3,91487.3,91487.3,0.01,0.0952257
16:08:24,91487.3,91487.3,91487.3,0.01,-0.0717962
16:08:24,91487.3,91487.3,91487.3,0.01,-0.160943
16:08:24,91487.3,91487.3,91487.3,0.01,-0.195807
16:08:25,91487.3,91487.3,91487.3,0.01,-0.1189
16:08:27,91487.3,91487.3,91487.3,0.01,0.0114246
16:08:28,91487.3,91487.3,91487.3,0.01,0.0107743
16:08:29,91487.3,91487.3,91487.3,0.01,0.0530493
16:08:31,91487.3,91487.3,91487.3,0.01,0.0465684
16:08:33,91487.3,91487.3,91487.3,0.01,0.0467496
16:08:34,91487.3,91487.3,91487.3,0.01,0.0628274
16:08:34,91487.3,91487.3,91487.3,0.01,0.165709
16:08:35,91487.3,91487.3,91487.3,0.01,0.211552
16:08:36,91487.3,91487.3,91487.3,0.01,0.183302
16:08:37,91487.3,91487.3,91487.3,0.01,0.148967
16:08:38,91487.3,91487.3,91487.3,0.01,0.113603
